,Auction Name,Days,Date,Winning Bid,Starting Bid,Currency,Hierarchy,Category 1,Category 2
0,EICHHOLTZ Barwagen Trolley Townhouse Gold NP 1699€,7,17 Jan 2021 at 11:10:37am GMT,605,1,EUR,"Home, Furniture & DIY>Furniture>Drinks Trolleys & Tea Trolleys",Furniture,Drinks Trolleys & Tea Trolleys
1,CLEARANCE - HAMPTON GREY LEATHER 2 SEATER CHESTERFIELD SOFA - T9361,5,22 Feb 2021 at 9:25:58pm GMT,405.1,0.99,£,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
2,"⚽  LARGE CHESTERFIELD  FOOTSTOOL VELVET GREY SIZE 35"" X 35"" X H 16"" FREE UK POST",7,25 Jan 2021 at 8:16:23pm GMT,154.85,1,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
3,Außergewöhnlicher Designstuhl sucht Liebhaber ,10,31 Jan 2021 at 6:50:43pm GMT,921.85,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
4,BAUHAUS Nachbau Barcelona Chair + Hocker im Design von Mies van der Rohe Leder!,10,7 Feb 2021 at 7:14:08pm GMT,632,1,EUR,"Home, Furniture & DIY>Furniture>Sofas, Armchairs & Couches",Furniture,"Sofas, Armchairs & Couches"
5,Antiker Beistell Tisch Kulissentisch Louis Philippe Intarsien france table 110cm,10,29 Dec 2020 at 7:05:06pm GMT,171,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
6,Vitra Alu Chair EA 117 Bürostuhl mit Armlehnen Designer Charles und Ray Eames,7,20 Dec 2020 at 2:43:28pm GMT,946,1,EUR,"Home, Furniture & DIY>Furniture>Chairs",Furniture,Chairs
7,The White Company Narrow Glass Display Cabinet White Grey RRP £725,3,4 Feb 2021 at 7:49:11pm GMT,780,4.99,£,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
8,Simba Hybrid 2500 Foam and Spring Mattress DOUBLE SHORT 135cm x 180cm,5,15 Feb 2021 at 9:20:43pm GMT,285,9.99,£,"Home, Furniture & DIY>Furniture>Beds & Mattresses>Mattresses",Beds & Mattresses,Mattresses
9,B-WARE Couchtisch Beistelltisch Wohnzimmertisch Sofatisch 2er-Set Rund Holzoptik,1,18 Feb 2021 at 7:04:25pm GMT,56,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
10,BAUHAUS Barcelona Chair / Sessel + Hocker Ludwig Mies van der Rohe Design Leder,10,6 Dec 2020 at 7:04:14pm GMT,617,1,EUR,,,
11,Vitra Plate Table von Jasper Morrison in Carrara Marmor ,10,10 Jan 2021 at 6:55:00pm GMT,588,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
12,DAMAGED Chinese Chest of Drawers Storage Unit Oriental Antique Style Furniture ,5,18 Jan 2021 at 3:04:47pm GMT,59,0.99,£,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
13,"Vitsoe Hockerprogramm 740, runder Sofa Tisch, Design Dieter Rams 1974",5,22 Dec 2020 at 7:20:26pm GMT,990,351,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
14,"⚽  LARGE CHESTERFIELD  FOOTSTOOL VELVET GREY SIZE 35"" X 35"" X H 16"" FREE UK POST",5,29 Dec 2020 at 3:43:00pm GMT,155,1,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
15,Antiker Esszimmer Couchtisch Tisch Tafel table Biedermeier old rare massiv 105cm,10,10 Jan 2021 at 7:27:31pm GMT,119,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
16,RRP €750 MOROSO x DIESEL Chubby Chic Pouf Leather Belt & Handle Made in Italy,10,10 Dec 2020 at 9:50:07pm GMT,151,29.99,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
17,B-WARE Couchtisch Schwarz Metall Tisch Beistelltisch Wohnzimmertisch Sofatisch,1,2 Feb 2021 at 11:13:51pm GMT,46,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
18,Simba Hybrid 2500 Foam and Spring Mattress KING SIZE EU 153cm x 203cm,5,14 Feb 2021 at 9:16:22pm GMT,460,9.99,£,"Home, Furniture & DIY>Furniture>Beds & Mattresses>Mattresses",Beds & Mattresses,Mattresses
19,"⚽  LARGE CHESTERFIELD  FOOTSTOOL VELVET GREY SIZE 35"" X 35"" X H 16"" FREE UK POST",7,16 Feb 2021 at 7:48:07pm GMT,185,1,£,"Home, Furniture & DIY>Furniture>Ottomans & Footstools",Furniture,Ottomans & Footstools
20,Designer Objekt Tisch Couchtisch Crom Glas table Wohnzimmer livingroom 140cm ,10,3 Jan 2021 at 7:31:50pm GMT,91,1,EUR,"Home, Furniture & DIY>Furniture>Tables",Furniture,Tables
21,Chinese Style 3 Drawer Storage Unit Bedside Table Cabinet Dark Wood,5,18 Jan 2021 at 3:12:30pm GMT,64,0.99,£,"Home, Furniture & DIY>Furniture>Cabinets & Cupboards",Furniture,Cabinets & Cupboards
